,Benchmark,Mean,Mean_no_outlier,Median,Best,Worst,STD
0,F1,65449.9396389555,65449.9396389555,64648.580563117284,61065.50814242561,71978.97832669292,2929.043860198083
1,F2,330392282.4393499,330392282.4393499,53331.7234515889,476.54437989503606,2514445992.4348025,761587505.0648019
2,F3,2746253.5742838443,2746253.5742838443,2720899.201984717,2523370.512724063,3044234.2443245957,150354.2357195206
3,F4,75.72669861570667,75.72669861570667,75.88222887647427,73.39696026668193,76.80387818820091,1.0112840374171477
4,F5,138177713.3230347,138177713.3230347,138734584.83718044,118815154.96204081,162015968.97205263,10391724.046448879
5,F6,63037.71720571579,63037.71720571579,63999.64681912327,57916.60133866907,66633.36823653863,2906.5677657777587
6,F7,19287345172.272644,19287345172.272644,19356537289.925632,15900287094.609777,21526526282.462776,1549690968.9899235
7,F8,-24923.942580830433,-24923.942580830433,-24863.439950332933,-25969.366719285896,-24416.93628796685,411.7627824698517
8,F9,1.4321074810997373e+63,1.4321074810997373e+63,8.903539296961757e+62,1.4887591742887916e+62,5.378710548698258e+63,1.4859061034421672e+63
9,F10,17.446082964138274,17.446082964138274,17.344339763293057,17.26385876659351,17.942117620733388,0.21922764309146903
10,F11,566.5961562380364,566.5961562380364,570.4632050910933,497.43038730020055,608.3143337375307,28.783024521739243
11,F12,907586319.6061405,907586319.6061405,918597399.958679,761108153.0949063,984166875.8468752,66527734.24591517
12,F13,899625446.1914593,899625446.1914593,907922817.2052906,752362382.5513442,1002985208.8430226,63895318.05221809
